month	day	year	Tmax
03	01	1987	49
03	02	1987	72
03	03	1987	54
03	04	1987	56
03	05	1987	38
03	06	1987	45
03	07	1987	58
03	08	1987	75
03	09	1987	75
03	10	1987	62
03	11	1987	35
03	12	1987	38
03	13	1987	47
03	14	1987	45
03	15	1987	50
03	16	1987	43
03	17	1987	48
03	18	1987	55
03	19	1987	60
03	20	1987	58
03	21	1987	60
03	22	1987	55
03	23	1987	58
03	24	1987	64
03	25	1987	68
03	26	1987	67
03	27	1987	72
03	28	1987	71
03	29	1987	69
03	30	1987	72
03	31	1987	62
04	01	1987	62
04	02	1987	50
04	03	1987	67
04	04	1987	54
04	05	1987	57
04	06	1987	43
04	07	1987	47
04	08	1987	59
04	09	1987	65
04	10	1987	61
04	11	1987	72
04	12	1987	76
04	13	1987	68
04	14	1987	63
04	15	1987	66
04	16	1987	58
04	17	1987	53
04	18	1987	64
04	19	1987	67
04	20	1987	71
04	21	1987	69
04	22	1987	76
04	23	1987	81
04	24	1987	57
04	25	1987	59
04	26	1987	48
04	27	1987	62
04	28	1987	63
04	29	1987	60
04	30	1987	77
05	01	1987	66
05	02	1987	70
05	03	1987	70
05	04	1987	75
05	05	1987	50
05	06	1987	62
05	07	1987	75
05	08	1987	80
05	09	1987	70
05	10	1987	78
05	11	1987	87
05	12	1987	89
05	13	1987	87
05	14	1987	66
05	15	1987	67
05	16	1987	77
05	17	1987	71
05	18	1987	85
05	19	1987	91
05	20	1987	61
05	21	1987	57
05	22	1987	75
05	23	1987	80
05	24	1987	87
05	25	1987	84
05	26	1987	69
05	27	1987	67
05	28	1987	70
05	29	1987	82
05	30	1987	93
05	31	1987	94
06	01	1987	89
06	02	1987	88
06	03	1987	87
06	04	1987	82
06	05	1987	75
06	06	1987	79
06	07	1987	79
06	08	1987	87
06	09	1987	90
06	10	1987	84
06	11	1987	75
06	12	1987	79
06	13	1987	84
06	14	1987	88
06	15	1987	86
06	16	1987	93
06	17	1987	85
06	18	1987	85
06	19	1987	86
06	20	1987	90
06	21	1987	92
06	22	1987	90
06	23	1987	91
06	24	1987	89
06	25	1987	81
06	26	1987	88
06	27	1987	78
06	28	1987	86
06	29	1987	82
06	30	1987	88
07	01	1987	93
07	02	1987	92
07	03	1987	90
07	04	1987	90
07	05	1987	88
07	06	1987	86
07	07	1987	83
07	08	1987	88
07	09	1987	96
07	10	1987	95
07	11	1987	92
07	12	1987	95
07	13	1987	94
07	14	1987	91
07	15	1987	90
07	16	1987	79
07	17	1987	79
07	18	1987	84
07	19	1987	91
07	20	1987	94
07	21	1987	98
07	22	1987	101
07	23	1987	99
07	24	1987	98
07	25	1987	96
07	26	1987	100
07	27	1987	96
07	28	1987	93
07	29	1987	88
07	30	1987	87
07	31	1987	93
08	01	1987	93
08	02	1987	86
08	03	1987	89
08	04	1987	96
08	05	1987	98
08	06	1987	95
08	07	1987	78
08	08	1987	84
08	09	1987	91
08	10	1987	94
08	11	1987	90
08	12	1987	85
08	13	1987	85
08	14	1987	83
08	15	1987	82
08	16	1987	88
08	17	1987	87
08	18	1987	94
08	19	1987	94
08	20	1987	85
08	21	1987	89
08	22	1987	88
08	23	1987	77
08	24	1987	80
08	25	1987	78
08	26	1987	75
08	27	1987	77
08	28	1987	97
08	29	1987	84
08	30	1987	83
08	31	1987	80
09	01	1987	80
09	02	1987	80
09	03	1987	83
09	04	1987	78
09	05	1987	78
09	06	1987	76
09	07	1987	78
09	08	1987	82
09	09	1987	79
09	10	1987	86
09	11	1987	84
09	12	1987	85
09	13	1987	82
09	14	1987	82
09	15	1987	84
09	16	1987	87
09	17	1987	85
09	18	1987	88
09	19	1987	85
09	20	1987	66
09	21	1987	65
09	22	1987	76
09	23	1987	77
09	24	1987	74
09	25	1987	78
09	26	1987	71
09	27	1987	75
09	28	1987	81
09	29	1987	84
09	30	1987	81
10	01	1987	74
10	02	1987	65
10	03	1987	74
10	04	1987	58
10	05	1987	59
10	06	1987	70
10	07	1987	70
10	08	1987	66
10	09	1987	59
10	10	1987	63
10	11	1987	72
10	12	1987	67
10	13	1987	55
10	14	1987	58
10	15	1987	60
10	16	1987	68
10	17	1987	73
10	18	1987	65
10	19	1987	70
10	20	1987	71
10	21	1987	73
10	22	1987	60
10	23	1987	57
10	24	1987	67
10	25	1987	73
10	26	1987	60
10	27	1987	60
10	28	1987	53
10	29	1987	59
10	30	1987	59
10	31	1987	66
11	01	1987	70
11	02	1987	69
11	03	1987	67
11	04	1987	75
11	05	1987	80
11	06	1987	69
11	07	1987	51
11	08	1987	63
11	09	1987	76
11	10	1987	72
11	11	1987	44
11	12	1987	34
11	13	1987	47
11	14	1987	56
11	15	1987	66
11	16	1987	59
11	17	1987	64
11	18	1987	72
11	19	1987	67
11	20	1987	55
11	21	1987	52
11	22	1987	31
11	23	1987	39
11	24	1987	58
11	25	1987	64
11	26	1987	67
11	27	1987	72
11	28	1987	42
11	29	1987	52
11	30	1987	62
12	01	1987	50
12	02	1987	51
12	03	1987	46
12	04	1987	45
12	05	1987	40
12	06	1987	42
12	07	1987	45
12	08	1987	48
12	09	1987	53
12	10	1987	66
12	11	1987	55
12	12	1987	52
12	13	1987	58
12	14	1987	49
12	15	1987	45
12	16	1987	45
12	17	1987	42
12	18	1987	39
12	19	1987	42
12	20	1987	46
12	21	1987	60
12	22	1987	44
12	23	1987	47
12	24	1987	51
12	25	1987	56
12	26	1987	59
12	27	1987	49
12	28	1987	42
12	29	1987	39
12	30	1987	34
12	31	1987	33
01	01	1988	50
01	02	1988	56
01	03	1988	33
01	04	1988	30
01	05	1988	39
01	06	1988	19
01	07	1988	20
01	08	1988	21
01	09	1988	26
01	10	1988	31
01	11	1988	32
01	12	1988	36
01	13	1988	40
01	14	1988	46
01	15	1988	22
01	16	1988	30
01	17	1988	44
01	18	1988	48
01	19	1988	52
01	20	1988	45
01	21	1988	45
01	22	1988	51
01	23	1988	39
01	24	1988	42
01	25	1988	52
01	26	1988	38
01	27	1988	24
01	28	1988	31
01	29	1988	33
01	30	1988	35
01	31	1988	54
02	01	1988	65
02	02	1988	71
02	03	1988	66
02	04	1988	40
02	05	1988	44
02	06	1988	36
02	07	1988	24
02	08	1988	29
02	09	1988	44
02	10	1988	43
02	11	1988	47
02	12	1988	42
02	13	1988	38
02	14	1988	28
02	15	1988	41
02	16	1988	53
02	17	1988	45
02	18	1988	55
02	19	1988	53
02	20	1988	43
02	21	1988	52
02	22	1988	32
02	23	1988	52
02	24	1988	65
02	25	1988	41
02	26	1988	37
02	27	1988	39
02	28	1988	45
02	29	1988	39
03	01	1988	52
03	02	1988	51
03	03	1988	62
03	04	1988	62
03	05	1988	53
03	06	1988	47
03	07	1988	52
03	08	1988	63
03	09	1988	58
03	10	1988	66
03	11	1988	52
03	12	1988	57
03	13	1988	69
03	14	1988	63
03	15	1988	41
03	16	1988	37
03	17	1988	48
03	18	1988	48
03	19	1988	48
03	20	1988	49
03	21	1988	47
03	22	1988	44
03	23	1988	48
03	24	1988	60
03	25	1988	79
03	26	1988	77
03	27	1988	53
03	28	1988	53
03	29	1988	60
03	30	1988	73
03	31	1988	77
04	01	1988	66
04	02	1988	65
04	03	1988	66
04	04	1988	74
04	05	1988	78
04	06	1988	77
04	07	1988	71
04	08	1988	50
04	09	1988	52
04	10	1988	59
04	11	1988	62
04	12	1988	63
04	13	1988	48
04	14	1988	53
04	15	1988	55
04	16	1988	61
04	17	1988	49
04	18	1988	70
04	19	1988	63
04	20	1988	45
04	21	1988	63
04	22	1988	61
04	23	1988	63
04	24	1988	64
04	25	1988	62
04	26	1988	65
04	27	1988	69
04	28	1988	75
04	29	1988	58
04	30	1988	54
05	01	1988	62
05	02	1988	69
05	03	1988	63
05	04	1988	62
05	05	1988	59
05	06	1988	60
05	07	1988	57
05	08	1988	78
05	09	1988	70
05	10	1988	75
05	11	1988	80
05	12	1988	74
05	13	1988	74
05	14	1988	81
05	15	1988	73
05	16	1988	73
05	17	1988	81
05	18	1988	77
05	19	1988	72
05	20	1988	72
05	21	1988	68
05	22	1988	75
05	23	1988	82
05	24	1988	88
05	25	1988	85
05	26	1988	64
05	27	1988	68
05	28	1988	77
05	29	1988	80
05	30	1988	90
05	31	1988	92
06	01	1988	93
06	02	1988	93
06	03	1988	66
06	04	1988	63
06	05	1988	67
06	06	1988	82
06	07	1988	89
06	08	1988	96
06	09	1988	77
06	10	1988	63
06	11	1988	68
06	12	1988	75
06	13	1988	87
06	14	1988	94
